Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
0,22.8427445,113.7591281,22.8427445,113.767578699,22.838937988999998,113.7591281,22.838937988999998,113.767578699
1,22.8427445,113.767578699,22.8427445,113.776029298,22.838937988999998,113.767578699,22.838937988999998,113.776029298
2,22.8427445,113.776029298,22.8427445,113.784479897,22.838937988999998,113.776029298,22.838937988999998,113.784479897
3,22.8427445,113.784479897,22.8427445,113.792930496,22.838937988999998,113.784479897,22.838937988999998,113.792930496
4,22.8427445,113.792930496,22.8427445,113.801381095,22.838937988999998,113.792930496,22.838937988999998,113.801381095
5,22.8427445,113.801381095,22.8427445,113.809831694,22.838937988999998,113.801381095,22.838937988999998,113.809831694
6,22.8427445,113.809831694,22.8427445,113.818282293,22.838937988999998,113.809831694,22.838937988999998,113.818282293
7,22.8427445,113.818282293,22.8427445,113.826732892,22.838937988999998,113.818282293,22.838937988999998,113.826732892
8,22.8427445,113.826732892,22.8427445,113.835183491,22.838937988999998,113.826732892,22.838937988999998,113.835183491
9,22.8427445,113.835183491,22.8427445,113.84363409,22.838937988999998,113.835183491,22.838937988999998,113.84363409
10,22.8427445,113.84363409,22.8427445,113.852084689,22.838937988999998,113.84363409,22.838937988999998,113.852084689
11,22.8427445,113.852084689,22.8427445,113.860535288,22.838937988999998,113.852084689,22.838937988999998,113.860535288
12,22.8427445,113.860535288,22.8427445,113.868985887,22.838937988999998,113.860535288,22.838937988999998,113.868985887
13,22.8427445,113.868985887,22.8427445,113.877436486,22.838937988999998,113.868985887,22.838937988999998,113.877436486
14,22.8427445,113.877436486,22.8427445,113.885887085,22.838937988999998,113.877436486,22.838937988999998,113.885887085
15,22.8427445,113.885887085,22.8427445,113.89433768399999,22.838937988999998,113.885887085,22.838937988999998,113.89433768399999
16,22.8427445,113.89433768399999,22.8427445,113.90278828299999,22.838937988999998,113.89433768399999,22.838937988999998,113.90278828299999
17,22.8427445,113.90278828299999,22.8427445,113.91123888199999,22.838937988999998,113.90278828299999,22.838937988999998,113.91123888199999
18,22.8427445,113.91123888199999,22.8427445,113.91968948099999,22.838937988999998,113.91123888199999,22.838937988999998,113.91968948099999
19,22.8427445,113.91968948099999,22.8427445,113.92814007999999,22.838937988999998,113.91968948099999,22.838937988999998,113.92814007999999
20,22.8427445,113.92814007999999,22.8427445,113.93659067899999,22.838937988999998,113.92814007999999,22.838937988999998,113.93659067899999
21,22.8427445,113.93659067899999,22.8427445,113.94504127799999,22.838937988999998,113.93659067899999,22.838937988999998,113.94504127799999
22,22.8427445,113.94504127799999,22.8427445,113.95349187699999,22.838937988999998,113.94504127799999,22.838937988999998,113.95349187699999
23,22.8427445,113.95349187699999,22.8427445,113.96194247599999,22.838937988999998,113.95349187699999,22.838937988999998,113.96194247599999
24,22.8427445,113.96194247599999,22.8427445,113.97039307499999,22.838937988999998,113.96194247599999,22.838937988999998,113.97039307499999
25,22.8427445,113.970393075,22.8427445,113.978843674,22.838937988999998,113.970393075,22.838937988999998,113.978843674
26,22.8427445,113.978843674,22.8427445,113.987294273,22.838937988999998,113.978843674,22.838937988999998,113.987294273
27,22.8427445,113.987294273,22.8427445,113.995744872,22.838937988999998,113.987294273,22.838937988999998,113.995744872
28,22.8427445,113.995744872,22.8427445,114.004195471,22.838937988999998,113.995744872,22.838937988999998,114.004195471
29,22.8427445,114.004195471,22.8427445,114.01264607,22.838937988999998,114.004195471,22.838937988999998,114.01264607
30,22.8427445,114.01264607,22.8427445,114.021096669,22.838937988999998,114.01264607,22.838937988999998,114.021096669
31,22.8427445,114.021096669,22.8427445,114.029547268,22.838937988999998,114.021096669,22.838937988999998,114.029547268
32,22.8427445,114.029547268,22.8427445,114.037997867,22.838937988999998,114.029547268,22.838937988999998,114.037997867
33,22.8427445,114.037997867,22.8427445,114.046448466,22.838937988999998,114.037997867,22.838937988999998,114.046448466
34,22.8427445,114.046448466,22.8427445,114.054899065,22.838937988999998,114.046448466,22.838937988999998,114.054899065
35,22.8427445,114.054899065,22.8427445,114.063349664,22.838937988999998,114.054899065,22.838937988999998,114.063349664
36,22.8427445,114.063349664,22.8427445,114.071800263,22.838937988999998,114.063349664,22.838937988999998,114.071800263
37,22.8427445,114.071800263,22.8427445,114.080250862,22.838937988999998,114.071800263,22.838937988999998,114.080250862
38,22.8427445,114.080250862,22.8427445,114.088701461,22.838937988999998,114.080250862,22.838937988999998,114.088701461
39,22.8427445,114.088701461,22.8427445,114.09715206,22.838937988999998,114.088701461,22.838937988999998,114.09715206
40,22.8427445,114.09715206,22.8427445,114.105602659,22.838937988999998,114.09715206,22.838937988999998,114.105602659
41,22.8427445,114.105602659,22.8427445,114.114053258,22.838937988999998,114.105602659,22.838937988999998,114.114053258
42,22.8427445,114.114053258,22.8427445,114.122503857,22.838937988999998,114.114053258,22.838937988999998,114.122503857
43,22.8427445,114.122503857,22.8427445,114.130954456,22.838937988999998,114.122503857,22.838937988999998,114.130954456
44,22.8427445,114.130954456,22.8427445,114.139405055,22.838937988999998,114.130954456,22.838937988999998,114.139405055
45,22.8427445,114.139405055,22.8427445,114.147855654,22.838937988999998,114.139405055,22.838937988999998,114.147855654
46,22.8427445,114.147855654,22.8427445,114.156306253,22.838937988999998,114.147855654,22.838937988999998,114.156306253
47,22.8427445,114.156306253,22.8427445,114.164756852,22.838937988999998,114.156306253,22.838937988999998,114.164756852
48,22.8427445,114.164756852,22.8427445,114.173207451,22.838937988999998,114.164756852,22.838937988999998,114.173207451
49,22.8427445,114.173207451,22.8427445,114.18165805,22.838937988999998,114.173207451,22.838937988999998,114.18165805
50,22.8427445,114.18165805,22.8427445,114.190108649,22.838937988999998,114.18165805,22.838937988999998,114.190108649
51,22.8427445,114.190108649,22.8427445,114.198559248,22.838937988999998,114.190108649,22.838937988999998,114.198559248
52,22.8427445,114.198559248,22.8427445,114.207009847,22.838937988999998,114.198559248,22.838937988999998,114.207009847
53,22.8427445,114.207009847,22.8427445,114.215460446,22.838937988999998,114.207009847,22.838937988999998,114.215460446
54,22.8427445,114.215460446,22.8427445,114.223911045,22.838937988999998,114.215460446,22.838937988999998,114.223911045
55,22.8427445,114.223911045,22.8427445,114.232361644,22.838937988999998,114.223911045,22.838937988999998,114.232361644
56,22.8427445,114.232361644,22.8427445,114.240812243,22.838937988999998,114.232361644,22.838937988999998,114.240812243
57,22.8427445,114.240812243,22.8427445,114.249262842,22.838937988999998,114.240812243,22.838937988999998,114.249262842
58,22.8427445,114.249262842,22.8427445,114.25771344099999,22.838937988999998,114.249262842,22.838937988999998,114.25771344099999
59,22.8427445,114.25771344099999,22.8427445,114.26616403999999,22.838937988999998,114.25771344099999,22.838937988999998,114.26616403999999
60,22.8427445,114.26616403999999,22.8427445,114.27461463899999,22.838937988999998,114.26616403999999,22.838937988999998,114.27461463899999
61,22.8427445,114.27461463899999,22.8427445,114.28306523799999,22.838937988999998,114.27461463899999,22.838937988999998,114.28306523799999
62,22.8427445,114.28306523799999,22.8427445,114.29151583699999,22.838937988999998,114.28306523799999,22.838937988999998,114.29151583699999
63,22.8427445,114.29151583699999,22.8427445,114.29996643599999,22.838937988999998,114.29151583699999,22.838937988999998,114.29996643599999
64,22.8427445,114.29996643599999,22.8427445,114.30841703499999,22.838937988999998,114.29996643599999,22.838937988999998,114.30841703499999
65,22.8427445,114.30841703499999,22.8427445,114.31686763399999,22.838937988999998,114.30841703499999,22.838937988999998,114.31686763399999
66,22.8427445,114.31686763399999,22.8427445,114.32531823299999,22.838937988999998,114.31686763399999,22.838937988999998,114.32531823299999
67,22.8427445,114.32531823299999,22.8427445,114.33376883199999,22.838937988999998,114.32531823299999,22.838937988999998,114.33376883199999
68,22.8427445,114.33376883199999,22.8427445,114.34221943099999,22.838937988999998,114.33376883199999,22.838937988999998,114.34221943099999
69,22.8427445,114.34221943099999,22.8427445,114.35067002999999,22.838937988999998,114.34221943099999,22.838937988999998,114.35067002999999
70,22.8427445,114.35067002999999,22.8427445,114.35912062899999,22.838937988999998,114.35067002999999,22.838937988999998,114.35912062899999
71,22.8427445,114.35912062899999,22.8427445,114.36757122799999,22.838937988999998,114.35912062899999,22.838937988999998,114.36757122799999
72,22.8427445,114.36757122799999,22.8427445,114.37602182699999,22.838937988999998,114.36757122799999,22.838937988999998,114.37602182699999
73,22.8427445,114.37602182699999,22.8427445,114.38447242599999,22.838937988999998,114.37602182699999,22.838937988999998,114.38447242599999
74,22.8427445,114.38447242599999,22.8427445,114.39292302499999,22.838937988999998,114.38447242599999,22.838937988999998,114.39292302499999
75,22.8427445,114.39292302499999,22.8427445,114.40137362399999,22.838937988999998,114.39292302499999,22.838937988999998,114.40137362399999
